studentid,subsidy
6,0
7,0
12,0
24,0
27,0
30,0
31,0
40,0
41,0
42,0
44,0
45,0
50,0
51,0
52,0
53,0
54,0
55,0
58,0
59,0
68,0
78,0
79,0
80,0
81,0
84,0
85,0
86,0
94,0
95,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
145,0
150,0
151,0
164,0
168,0
169,0
170,0
171,0
174,0
175,0
176,0
177,0
180,0
181,0
188,0
196,0
197,0
208,0
209,0
210,0
211,0
223,0
226,0
227,0
240,0
241,0
242,0
243,0
246,0
247,0
249,0
252,0
253,0
256,0
257,0
263,0
264,0
265,0
280,0
281,0
284,0
285,0
292,0
293,0
302,0
303,0
314,0
315,0
316,0
326,0
332,0
333,0
336,0
337,0
338,0
341,0
342,0
343,0
350,0
351,0
356,0
357,0
360,0
361,0
364,0
365,0
371,0
374,0
375,0
378,0
379,0
380,0
382,0
383,0
392,0
402,0
403,0
410,0
411,0
422,0
429,0
434,0
435,0
436,0
456,0
457,0
459,0
464,0
465,0
473,0
482,0
483,0
490,0
491,0
493,0
494,0
495,0
506,0
514,0
516,0
517,0
518,0
519,0
520,0
521,0
530,0
538,0
539,0
540,0
541,0
542,0
543,0
546,0
547,0
548,0
549,0
554,0
555,0
556,0
557,0
560,0
561,0
568,0
569,0
590,0
591,0
600,0
601,0
622,0
623,0
629,0
632,0
633,0
638,0
639,0
644,0
652,0
653,0
656,0
657,0
666,0
667,0
670,0
671,0
673,0
676,0
677,0
689,0
698,0
699,0
702,0
703,0
704,0
705,0
716,0
717,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
753,0
760,0
761,0
765,0
768,0
769,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
792,0
794,0
806,0
807,0
812,0
813,0
815,0
818,0
819,0
828,0
837,0
838,0
839,0
856,0
857,0
862,0
863,0
866,0
867,0
870,0
871,0
872,0
873,0
875,0
876,0
877,0
881,0
884,0
885,0
888,0
889,0
893,0
904,0
905,0
906,0
910,0
911,0
912,0
913,0
918,0
919,0
920,0
921,0
926,0
927,0
930,0
931,0
962,0
963,0
964,0
965,0
968,0
969,0
972,0
973,0
976,0
1004,0
1005,0
1014,0
1015,0
1018,0
1019,0
1028,0
1032,0
1033,0
1035,0
1042,0
1043,0
1056,0
1057,0
1073,0
1077,0
1086,0
1087,0
1090,0
1094,0
1095,0
1100,0
1101,0
1105,0
1106,0
1107,0
1112,0
1113,0
1114,0
1116,0
1117,0
1122,0
1123,0
1126,0
1127,0
1146,0
1147,0
1148,0
1149,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1178,0
1179,0
1180,0
1181,0
1188,0
1189,0
1190,0
1194,0
1195,0
1230,0
1231,0
1234,0
1235,0
1238,0
1239,0
1244,0
1245,0
1250,0
1251,0
1262,0
1263,0
1274,0
1275,0
1276,0
1277,0
1281,0
1293,0
1298,0
1299,0
1310,0
1311,0
1314,0
1315,0
1316,0
1317,0
1322,0
1323,0
1336,0
1337,0
1340,0
1341,0
1346,0
1347,0
1357,0
1362,0
1363,0
1368,0
1369,0
1370,0
1374,0
1376,0
1377,0
1380,0
1381,0
1388,0
1389,0
1390,0
1391,0
1399,0
1400,0
1401,0
1403,0
1404,0
1405,0
1412,0
1413,0
1418,0
1419,0
1420,0
1422,0
1423,0
1424,0
1425,0
1432,0
1433,0
1436,0
1437,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1450,0
1451,0
1456,0
1458,0
1459,0
1462,0
1463,0
1466,0
1467,0
1468,0
1469,0
1472,0
1482,0
1483,0
1484,0
1485,0
1490,0
1491,0
1492,0
1493,0
1496,0
1508,0
1509,0
1510,0
1511,0
1516,0
1517,0
1526,0
1544,0
1545,0
1546,0
1547,0
1558,0
1559,0
1560,0
1561,0
1566,0
1567,0
1572,0
1573,0
1574,0
1575,0
1578,0
1579,0
1586,0
1587,0
1588,0
1589,0
1597,0
1600,0
1601,0
1606,0
1607,0
1608,0
1609,0
1616,0
1617,0
1618,0
1619,0
1624,0
1625,0
1636,0
1637,0
1639,0
1644,0
1645,0
1646,0
1647,0
1659,0
1668,0
1669,0
1690,0
1691,0
1692,0
1693,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1718,0
1726,0
1727,0
1728,0
1736,0
1737,0
1738,0
1739,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1773,0
1775,0
1776,0
1777,0
1778,0
1779,0
1784,0
1785,0
1787,0
1809,0
1810,0
1811,0
1815,0
1816,0
1819,0
1820,0
1821,0
1826,0
1827,0
1830,0
1831,0
1838,0
1839,0
1846,0
1847,0
1852,0
1853,0
1855,0
1858,0
1859,0
1860,0
1861,0
1864,0
1865,0
1882,0
1883,0
1894,0
1895,0
1896,0
1897,0
1899,0
1908,0
1909,0
1912,0
1913,0
1917,0
1920,0
1921,0
1922,0
1934,0
1935,0
1936,0
1940,0
1952,0
1953,0
1958,0
1959,0
1960,0
1961,0
1962,0
1976,0
1977,0
1988,0
1989,0
1992,0
1993,0
2000,0
2001,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2020,0
2021,0
2022,0
2023,0
2028,0
2029,0
2040,0
2041,0
2043,0
2047,0
2050,0
2051,0
2054,0
2055,0
2058,0
2059,0
2074,0
2075,0
2080,0
2081,0
2082,0
