studentid,subsidy
6,1000
7,1500
12,0
24,1500
27,1500
30,0
31,1500
40,1500
41,1500
42,1500
44,1500
45,1500
50,1500
51,1500
52,0
53,1500
54,1500
55,1500
58,1500
59,1500
68,1500
78,1500
79,1500
80,1000
81,1500
84,1500
85,1500
86,1500
94,1500
95,1500
122,1500
123,1500
124,0
125,1500
126,1500
127,1500
128,1000
129,1500
130,1500
131,1500
132,1000
133,1500
134,1000
135,1500
145,1000
150,1500
151,1500
164,0
168,1500
169,1500
170,1500
171,1500
174,1500
175,1500
176,1500
177,0
180,0
181,1500
188,1500
196,1500
197,1500
208,1500
209,1500
210,1500
211,1500
223,1500
226,0
227,1500
240,1500
241,0
242,1500
243,0
246,1500
247,1500
249,1500
252,1500
253,1500
256,1500
257,1500
263,1500
264,1500
265,1500
280,1500
281,1500
284,1500
285,1500
292,0
293,1500
302,1500
303,1500
314,1500
315,1500
316,1500
326,1500
332,1500
333,1500
336,1500
337,0
338,1500
341,1500
342,1500
343,1500
350,1000
351,0
356,1500
357,1500
360,1500
361,0
364,1500
365,0
371,1500
374,1500
375,1500
378,0
379,1500
380,1500
382,1500
383,1500
392,1500
402,1500
403,0
410,0
411,1500
422,1500
429,1500
434,0
435,1500
436,0
456,1500
457,0
459,1500
464,0
465,1500
473,0
482,1500
483,1500
490,1500
491,1500
493,1500
494,0
495,1500
506,1500
514,1500
516,1500
517,1500
518,1500
519,1000
520,0
521,1500
530,1500
538,0
539,1500
540,1500
541,1500
542,1500
543,1500
546,1500
547,1500
548,1500
549,1500
554,1000
555,1500
556,0
557,1500
560,1000
561,0
568,1500
569,1500
590,1500
591,1500
600,0
601,0
622,1500
623,1500
629,1500
632,1500
633,1500
638,1500
639,1500
644,1000
652,1500
653,1500
656,1500
657,1500
666,1000
667,1500
670,1000
671,1500
673,1500
676,0
677,1500
689,1500
698,1500
699,0
702,1500
703,1500
704,0
705,1500
716,1000
717,1500
720,1500
721,1500
722,1500
723,1500
724,0
725,1500
726,0
753,1500
760,1500
761,1500
765,0
768,0
769,0
778,1500
779,1500
780,1000
781,1500
782,1500
783,0
784,1000
785,1000
792,1500
794,1500
806,1000
807,1500
812,0
813,1500
815,1500
818,1500
819,1500
828,1500
837,0
838,1500
839,1500
856,1500
857,1000
862,1500
863,1000
866,1500
867,1500
870,1500
871,1500
872,1500
873,1500
875,1500
876,1500
877,0
881,1500
884,1500
885,1500
888,1500
889,1500
893,1500
904,1500
905,1500
906,1500
910,1500
911,1500
912,0
913,1500
918,1500
919,1500
920,1000
921,1500
926,1500
927,1500
930,1500
931,0
962,1500
963,0
964,0
965,1500
968,1500
969,1500
972,1500
973,0
976,0
1004,1500
1005,1500
1014,1500
1015,1500
1018,1500
1019,1500
1028,1500
1032,1500
1033,1500
1035,1500
1042,0
1043,1500
1056,0
1057,1500
1073,1500
1077,1500
1086,1500
1087,0
1090,1500
1094,0
1095,1500
1100,1500
1101,1500
1105,1500
1106,1500
1107,1500
1112,0
1113,1500
1114,1000
1116,1500
1117,0
1122,0
1123,1500
1126,1500
1127,1500
1146,0
1147,1500
1148,0
1149,0
1158,1500
1159,1000
1160,1500
1161,1500
1162,0
1163,1500
1164,1500
1165,1500
1178,0
1179,0
1180,1000
1181,1500
1188,1500
1189,1500
1190,1500
1194,0
1195,1500
1230,1500
1231,1500
1234,1500
1235,0
1238,1500
1239,1500
1244,0
1245,1500
1250,1500
1251,1000
1262,1500
1263,1500
1274,1500
1275,1500
1276,0
1277,1500
1281,1500
1293,0
1298,1000
1299,1500
1310,1500
1311,0
1314,1500
1315,1500
1316,0
1317,0
1322,0
1323,0
1336,1500
1337,1500
1340,1500
1341,1000
1346,1500
1347,1000
1357,1500
1362,1500
1363,1500
1368,0
1369,1500
1370,1500
1374,1500
1376,1500
1377,1500
1380,1500
1381,1500
1388,0
1389,0
1390,1500
1391,1500
1399,0
1400,1500
1401,0
1403,1500
1404,1500
1405,1500
1412,1500
1413,1000
1418,1500
1419,1500
1420,1500
1422,1500
1423,1500
1424,1000
1425,0
1432,1000
1433,1500
1436,1500
1437,0
1442,1500
1443,1500
1444,1500
1445,1000
1446,1500
1447,1500
1450,1500
1451,1500
1456,1500
1458,1500
1459,0
1462,1500
1463,0
1466,1500
1467,1500
1468,1500
1469,0
1472,0
1482,1500
1483,1500
1484,1500
1485,1500
1490,1500
1491,0
1492,1500
1493,1500
1496,1500
1508,1500
1509,1500
1510,1500
1511,1000
1516,0
1517,0
1526,1500
1544,1500
1545,0
1546,1500
1547,1500
1558,1500
1559,1500
1560,1500
1561,1500
1566,1500
1567,1500
1572,1500
1573,1500
1574,1500
1575,1500
1578,0
1579,1500
1586,0
1587,1500
1588,1500
1589,1500
1597,1500
1600,1500
1601,1500
1606,0
1607,0
1608,1500
1609,1500
1616,1500
1617,1500
1618,0
1619,1500
1624,1500
1625,0
1636,0
1637,1500
1639,1500
1644,1500
1645,1500
1646,1500
1647,1500
1659,1500
1668,1000
1669,1500
1690,1500
1691,1500
1692,0
1693,1500
1700,1500
1701,1500
1702,1500
1703,1500
1704,1500
1705,1500
1706,1500
1707,1500
1708,1500
1709,0
1710,0
1711,1500
1718,1500
1726,1500
1727,1500
1728,1500
1736,1500
1737,1500
1738,1500
1739,1500
1762,0
1763,1500
1764,1500
1765,1500
1766,1500
1767,0
1768,1500
1769,1500
1773,1500
1775,1500
1776,1500
1777,1500
1778,1500
1779,1500
1784,1000
1785,1000
1787,1500
1809,1500
1810,1500
1811,1000
1815,1500
1816,1000
1819,1500
1820,1500
1821,1500
1826,1500
1827,1500
1830,1500
1831,1000
1838,1500
1839,0
1846,1500
1847,1500
1852,1000
1853,0
1855,1500
1858,0
1859,1500
1860,1500
1861,1500
1864,0
1865,1500
1882,1500
1883,1500
1894,1500
1895,1500
1896,0
1897,0
1899,1500
1908,1500
1909,1500
1912,1500
1913,1500
1917,1500
1920,1500
1921,1500
1922,0
1934,1500
1935,1500
1936,1500
1940,1500
1952,1500
1953,1500
1958,1500
1959,1500
1960,1500
1961,1500
1962,1500
1976,1500
1977,1500
1988,1500
1989,1500
1992,1500
1993,0
2000,1500
2001,1000
2008,1500
2009,1500
2010,1500
2011,1500
2012,1500
2013,1500
2020,1000
2021,1500
2022,1500
2023,1500
2028,1500
2029,1500
2040,1500
2041,1500
2043,1500
2047,1500
2050,0
2051,1500
2054,1500
2055,0
2058,1000
2059,1500
2074,1000
2075,1500
2080,1500
2081,1500
2082,1500
2083,1500
2084,1500
2085,1500
2086,1000
2087,1500
2098,1500
2099,1500
2104,1500
2106,1500
2107,0
2108,1500
2109,0
2114,1500
2115,0
2116,1500
2117,1500
2118,0
2119,1500
2120,1500
2121,1500
2136,1500
2137,1500
2140,1500
2141,1500
2146,1000
2147,1500
2151,1500
2152,1500
2153,1500
2154,1500
2155,1500
2159,0
2160,1500
2166,1500
2167,1500
2172,0
2173,1500
2177,1500
2182,1000
2186,1500
2187,0
2188,1500
2189,1500
2194,1500
2195,0
2200,1500
2201,1500
2202,0
2203,0
2204,0
2205,1500
2210,1500
2211,1500
2212,1500
2213,1500
2216,1500
2217,1500
2220,1500
2226,1500
2227,1500
2238,0
2239,1500
2240,1500
2241,1500
2242,1500
2243,1500
